#pid	label	UserInfo_FollowCount	UserInfo_FollowedCount	UserInfo_FollowFollowedRatio	UserInfo_RegTime	UserInfo_HasMobile	UserInfo_HasBirth	UserInfo_HasSex	UserInfo_IsMale	UserInfo_IsFemale	UserInfo_IsGroupOwner	UserInfo_MaxLevel	UserInfo_FourmNum	UserInfo_LevelMean	UserInfo_LevelVar	UserInfo_NowLevel	UserInfo_UnamePattern0	UserInfo_UnamePattern1	UserInfo_UnamePattern2	UserInfo_UnameIsEnNum	UserInfo_IsQQName	ForumInfo_ForumInfo	ForumInfo_Level2Info	ForumInfo_Level1Info	ForumInfo_RankInfo	ForumInfo_RankMean	ForumInfo_RankVar	ForumInfo_NowRank	ForumInfo_FormTitleMatchRatio	ForumInfo_Level1Name0	ForumInfo_Level1Name1	ForumInfo_Level1Name2	ForumInfo_Level1Name3	ForumInfo_Level1Name4	ForumInfo_Level1Name5	ForumInfo_Level1Name6	ForumInfo_Level1Name7	ForumInfo_Level1Name8	ForumInfo_Level1Name9	ForumInfo_Level1Name10	ForumInfo_Level1Name11	ForumInfo_Level1Name12	ForumInfo_Level1Name13	ForumInfo_Level1Name14	ForumInfo_Level1Name15	ForumInfo_Level1Name16	ForumInfo_Level1Name17	ForumInfo_Level1Name18	ForumInfo_Level1Name19	ForumInfo_Level1Name20	ForumInfo_Level1Name21	ForumInfo_Level1Name22	ForumInfo_Level1Name23	ForumInfo_Level1Name24	ForumInfo_Level1Name25	ForumInfo_Level1Name26	ForumInfo_Level1Name27	ForumInfo_Level1Name28	ContentSim_AvgSimByThread1	ContentSim_AvgSimByForum	ContentSim_AvgSimByThread2	ContentSim_Top2ContentsSim	TitleSim_AvgSimByThread	TitleSim_AvgSimByForum	TitleSim_Top2TitleSim	RepeatString_TextLengthMean	RepeatString_TextLengthVar	RepeatString_TextCnLengthMean	RepeatString_TextCnLengthVar	RepeatString_NowLength	RepeatString_NowCnLength	RepeatString_NowCnRatio	RepeatString_CnRatio	RepeatString_ThreadTextLengthMean	RepeatString_ThreadTextLengthVar	RepeatString_ReplyTextLengthMean	RepeatString_ReplyTextLengthVar	UrlWeight_NowUrlScore	UrlWeight_NowHasVideo	UrlWeight_NowHasEmail	UrlWeight_NowHasPic	UrlWeight_UrlScoreAvg	UrlWeight_UrlScoreAvgMultTextLength	UrlWeight_UrlScoreMin	UrlWeight_UrlScoreMax	UrlWeight_UrlRatio	UrlWeight_PicRatio	UrlWeight_PicRatioMultTextLength	UrlWeight_EmailRatio	UrlWeight_VideoRatio	UrlWeight_VideoRatioMultTextLength	UrlWeight_AnyRatio	UrlWeight_AnyRatioMultTextLength	UrlWeight_UniqueUrlRatio	UrlWeight_UniquePicRatio	UrlWeight_UniqueVideoRatio	NumberWeight_NumRatio	NumberWeight_UniqueNumRatio	NumberWeight_DeformNumRatio	UnusualChar_	UnusualCn_UnusualCnPostsRatio	UnusualCn_UnusualCnRatio	DictMatch_WhiteTitleRatio	DictMatch_NowBlackTitleCount	DictMatch_NowGrayTitleCount	DictMatch_NowBlackTitleCount2	DictMatch_NowGrayTitleCount2	DictMatch_NowBlackContentCount	DictMatch_NowGrayContentCount	DictMatch_NowBlackContentCount2	DictMatch_NowGrayContentCount2	DictMatch_BlackTitleRatio	DictMatch_GrayTitleRatio	DictMatch_BlackTitleRatio2	DictMatch_GrayTitleRatio2	DictMatch_BlackContentPerPost	DictMatch_GrayContentPerPost	DictMatch_BlackContentPerPost2	DictMatch_GrayContentPerPost2	DictMatch_TitleModifyRatio	DictMatch_ContentModifyRatio	LanguageModel_NowLmScore	LanguageModel_NowFirstLmScore	LanguageModel_NowLastLmScore	LanguageModel_LmScoreAvg	LanguageModel_FirstLmScoreAvg	LanguageModel_LastLmScoreAvg	LanguageModel_BadLmScoreAvg	LanguageModel_BadFirstLmScoreAvg	LanguageModel_BadLastLmScoreAvg	Trate_TrateNum	Trate_NowTrateScore	Trate_NowThreadTrateScore	Trate_NowReplyTrateScore	Trate_TrateMean	Trate_TrateVar	Trate_ThreadTrateMean	Trate_ThreadTrateVar	Trate_ReplyTrateMean	Trate_ReplyTrateVar	Trate_Bukets0	Trate_Bukets1	Trate_Bukets2	Trate_Bukets3	Trate_TBukets0	Trate_TBukets1	Trate_TBukets2	Trate_TBukets3	Trate_PBukets0	Trate_PBukets1	Trate_PBukets2	Trate_PBukets3	Trate_TrateMean2	Trate_TrateMean3	Trate_TrateMean4	Trate_TrateMean5	LTrate_TrateNum	LTrate_NowTrateScore	LTrate_NowThreadTrateScore	LTrate_NowReplyTrateScore	LTrate_TrateMean	LTrate_TrateVar	LTrate_ThreadTrateMean	LTrate_ThreadTrateVar	LTrate_ReplyTrateMean	LTrate_ReplyTrateVar	LTrate_Bukets0	LTrate_Bukets1	LTrate_Bukets2	LTrate_Bukets3	LTrate_TBukets0	LTrate_TBukets1	LTrate_TBukets2	LTrate_TBukets3	LTrate_PBukets0	LTrate_PBukets1	LTrate_PBukets2	LTrate_PBukets3	LTrate_TrateMean2	LTrate_TrateMean3	LTrate_TrateMean4	LTrate_TrateMean5	LTrate2_TrateNum	LTrate2_NowTrateScore	LTrate2_NowThreadTrateScore	LTrate2_NowReplyTrateScore	LTrate2_TrateMean	LTrate2_TrateVar	LTrate2_ThreadTrateMean	LTrate2_ThreadTrateVar	LTrate2_ReplyTrateMean	LTrate2_ReplyTrateVar	LTrate2_Bukets0	LTrate2_Bukets1	LTrate2_Bukets2	LTrate2_Bukets3	LTrate2_TBukets0	LTrate2_TBukets1	LTrate2_TBukets2	LTrate2_TBukets3	LTrate2_PBukets0	LTrate2_PBukets1	LTrate2_PBukets2	LTrate2_PBukets3	LTrate2_TrateMean2	LTrate2_TrateMean3	LTrate2_TrateMean4	LTrate2_TrateMean5	IPInfo_RecentLocs	IPInfo_RecentIps	IPInfo_RecentIpPrefix3	IPInfo_RecentIpPrefix2	IPInfo_RecentIpPrefix1	IPInfo_LocChanges	IPInfo_IpChanges	IPInfo_IpPrefix3Changes	IPInfo_IpPrefix2Changes	IPInfo_IpPrefix1Changes	IPInfo_ForeignIpRatio	MultiReplyTo_MultiReplyTo0	PostReplyRate_ThreadRatio	PostReplyRate_PostsNum	PostReplyRate_ThreadNum	PostReplyRate_UniqeThreadNum	PostReplyRate_UniqeThreadRatio	Time_TimeSpan0	Time_TimeSpan1	Time_TimeSpan2	Time_TimeSpan3	Time_TimeSpan4	Time_TimeSpanAvg	Time_TimeSpanVar	Time_HoursCovered	Time_NowTimeBin	Time_Bins0	Time_Bins1	Time_Bins2	Time_Bins3	Time_Bins4	Time_Bins5	DH_DH0	DH_DH1	DH_DH2	DH_DH3	DH_DH4	Sundry_PostType	Sundry_HistorySize	Sundry_PostsNumLast_1440_Minutes
_47508965473	0	3.55535	3.3322	0.223144	6.39359	1	0	1	1	0	0	11	6	0	0	0	1	1	1	0	0	0	0	0	0	8.55237	0	8.55237	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0965432	0.105802	0	0	0.269205	0	0	2.69274	2.57568	2.60182	2.44057	0	0	1	0.97538	0	0	3.23129	1.04434	4.4	0	0	0	4.4	0	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166667	0	0.166667	0	0	0	0	0	1	1	2.5	2.5	2.5	2.53403	2.53403	2.53403	2.59286	2.62368	2.80244	6	0.1	0.1	0	0.109833	0.000232967	0.1	0	0.1118	0.0002622	1	0	0	0	1	0	0	0	1	0	0	0	0.114	0.109333	0.107	0.1056	6	-1.42	-1.42	0	-1.42667	0.0642667	-1.42	0	-1.428	0.08032	0	1	0	0	0	1	0	0	0	1	0	0	-1.35	-1.43333	-1.325	-1.376	6	-0.58	-0.58	0	-0.58	0	-0.58	0	-0.58	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.58	-0.58	-0.58	1	2	1	1	1	1	2	1	1	1	0	0	0.166667	6	1	6	6	0	0	0	0	0	2.5	5.75	0.5	3	0	0	0	0.333333	0.666667	0	0	0	0	0	1	1	6	6
_47503309468	0	3.13549	2.70805	0.427444	5.57215	1	0	1	1	0	0	9	5	9	0	9	1	1	1	0	0	0	0	0	0	9.01299	0	9.01299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.2	0.2	0	0.8	0.177362	0	0.882353	3.15077	0.59292	3.04284	0.556315	48	42	0.877551	0.973999	5.55417	0.141414	2.77421	0.535254	4.4	0	0	0	4.4	24.4384	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.32442	2.82	2.52953	2.71841	2.71841	2.71841	2.71841	2.91248	2.80127	5	0.1	0.1	0	0.1028	3.92e-05	0.107	9.8e-05	0.1	2.88889e-34	1	0	0	0	1	0	0	0	1	0	0	0	0.107	0.104667	0.1035	0.1028	5	-1.28	-1.28	0	-1.212	0.00832	-1.3	0.0008	-1.15333	0.00333333	0	1	0	0	0	1	0	0	0	1	0	0	-1.3	-1.24	-1.235	-1.212	5	-0.58	-0.58	0	-0.58	0	-0.58	0	-0.58	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.58	-0.58	-0.58	1	1	1	1	1	1	1	1	1	1	0	0	0.333333	5	2	3	1.5	0	0	0	0	0	2.5	5.75	0.6	5	0	0.4	0	0.2	0.2	0.2	0	0	0	0	1	1	5	5
_47481473187	0	0	0	0	6.16752	1	0	0	0	0	0	3	6	1.66667	1.86667	2	1	1	1	0	0	1.56071	1.32966	1.0114	1.32966	7.46664	23.3894	3.63759	0.333333	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169687	0.15302	0	0.296875	0.200371	0.200371	0	3.1843	1.86807	3.01461	2.14145	28	28	1	0.959448	3.3673	0	3.15718	2.37716	4.4	0	0	0	4.4	14.8161	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.65353	3.07182	2.58953	2.58651	2.58651	2.58651	2.63412	2.85508	2.70706	6	0.1	0.1	0	0.0916667	0.000416667	0.1	0	0.09	0.0005	1	0	0	0	1	0	0	0	1	0	0	0	0.075	0.0833333	0.0875	0.09	6	-1.4	-1.4	0	-1.54333	0.0786267	-1.4	0	-1.572	0.09212	0	1	0	0	0	1	0	0	0	1	0	0	-1.69	-1.56	-1.5	-1.492	6	-0.58	-0.58	0	-0.58	0	-0.58	0	-0.58	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.58	-0.58	-0.58	1	1	1	1	1	1	1	1	1	1	0	0	0.166667	6	1	6	6	0	0	0	0	0	2.5	5.75	0.5	1	0	0.666667	0	0.333333	0	0	0	0	0	0	1	1	6	6
_47513099903	0	1.60944	1.60944	0	7.4668	0	1	1	1	0	0	7	1	0	0	0	2	3	2	0	0	0	0	0	0	3.93183	0	3.93183	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4.4	0	0	0	4.4	0	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	1	0.1	0.1	0	0.1	0	0.1	0	0.1	0	1	0	0	0	1	0	0	0	1	0	0	0	0.1	0.1	0.1	0.1	1	-1.32	-1.32	0	-1.32	0	-1.32	0	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-2.16	-2.44	-2.58	-2.664	1	-0.58	-0.58	0	-0.58	0	-0.58	0	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-1.79	-2.19333	-2.395	-2.516	1	1	1	1	1	1	1	1	1	1	0	0	0.166667	1	1	1	1	0	0	0	0	0	2.5	5.75	0	4	0	0	0	0	1	0	0	0	0	0	1	1	1	1
_47502309450	0	0	1.09861	-1.09861	6.45677	1	1	1	1	0	0	2	1	2	0	2	1	1	1	0	0	0	0	0	0	3.93183	0	3.93183	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93183	0	3.80666	0	50	44	0.882353	0.974621	4.14313	0	0	0	4.4	0	0	0	4.4	18.2298	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.86542	3.3939	2.64922	2.86542	2.86542	2.86542	2.86542	3.3939	2.64922	1	0.1	0.1	0	0.1	0	0.1	0	0.1	0	1	0	0	0	1	0	0	0	1	0	0	0	0.1	0.1	0.1	0.1	1	-1.88	-1.88	0	-1.88	0	-1.88	0	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-2.44	-2.62667	-2.72	-2.776	1	-0.58	-0.58	0	-0.58	0	-0.58	0	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-1.79	-2.19333	-2.395	-2.516	1	1	1	1	1	1	1	1	1	1	0	0	0.166667	1	1	1	1	0	0	0	0	0	2.5	5.75	0	3	0	0	0	1	0	0	0	0	0	0	1	1	1	1
_47517218831	0	0	0	0	0	1	0	0	0	0	0	3	6	2.66667	0.266667	2	2	0	0	1	0	0.636514	0	0	0.636514	4.13918	0.103186	4.55388	0.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.263958	0.263958	0	0.28125	0.241984	0.152698	0	3.51797	0.126123	3.31819	0.181585	31	26	0.84375	0.955783	3.7308	0.0684826	3.3492	0.117269	4.4	0	0	0	4.4	16.4155	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166667	0	0.166667	0.221338	0	0.221338	0	1	1	2.67908	2.87843	2.92818	2.81116	2.81116	2.81116	2.90097	3.0303	3.0459	6	0.1	0.1	0	0.112833	0.000439367	0.125667	0.000604333	0.1	2.88889e-34	1	0	0	0	1	0	0	0	1	0	0	0	0.1	0.1	0.1	0.1056	6	-1.54	-1.54	0	-1.44667	0.0140267	-1.42	0.0112	-1.47333	0.0217333	0	1	0	0	0	1	0	0	0	1	0	0	-1.45	-1.51333	-1.49	-1.468	6	-0.58	-0.58	0	-0.58	0	-0.58	0	-0.58	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.58	-0.58	-0.58	1	2	1	1	1	1	2	1	1	1	0	0	0.5	6	3	4	1.33333	0	0	0	0	0	2.5	5.75	0.333333	4	0	0	0	0	0.5	0.5	0	0	0	0	1	1	6	6
_47518192570	0	0	4.09434	-4.09434	6.55108	1	0	1	1	0	1	11	6	1.83333	20.1667	11	0	2	2	0	0	1.0114	0.450561	0.450561	0.693147	1.45468	0.311484	0.693147	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0903738	0.0903738	0	0.0571429	0.100427	0.100427	0	3.2928	0.924249	2.91624	1.28368	4	4	1	0.912281	5.03695	0	4.44035	0.54542	4.4	0	0	0	4.4	22.1626	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.232948	0	0.232948	0	1	1	2.5	2.5	2.5	2.82023	2.82023	2.82023	2.88843	2.94927	3.08883	6	0.1	0.1	0	0.0916667	0.000416667	0.1	0	0.09	0.0005	1	0	0	0	1	0	0	0	1	0	0	0	0.075	0.0833333	0.0875	0.09	6	-1.24	-1.24	0	-1.21667	0.0327067	-1.24	0	-1.212	0.04072	0	1	0	0	0	1	0	0	0	1	0	0	-1.3	-1.25333	-1.27	-1.284	6	-0.58	-0.58	0	-0.58	0	-0.58	0	-0.58	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.58	-0.58	-0.58	1	1	1	1	1	1	1	1	1	1	0	0	0.166667	6	1	3	3	0	0	0	0	0	2.5	5.75	0.166667	5	0	0	0	0	0	1	0	0	0	0	1	1	6	6
_47498373895	0	0.693147	7.74716	-7.05402	8.04527	1	0	1	1	0	0	14	6	13	2.4	14	1	1	1	0	0	0.636514	0.636514	0	0	3.93183	0	3.93183	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.474056	0.474056	0.333333	0.95122	0.486153	0.438983	0.926829	3.74436	3.50422	3.56675	3.22006	76	58	0.766234	0.962565	3.74436	3.50422	0	0	4.4	0	0	0	4.4	16.4752	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.64914	3.27668	2.84545	2.63488	2.63488	2.63488	2.72939	3.0497	2.89476	6	0.1	0.1	0	0.0666667	0.000666667	0.0666667	0.000666667	0.1	0	1	0	0	0	1	0	0	0	1	0	0	0	0.075	0.0666667	0.0625	0.07	6	-1	-1	0	-1.36	0.18272	-1.36	0.18272	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.99	-1.2	-1.305	-1.24	6	-0.58	-0.58	0	-0.58	0	-0.58	0	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.58	-0.58	-0.58	1	1	1	1	1	1	1	1	1	1	0	0	1	6	6	6	1	0	0	0	0	0	2.5	5.75	0.166667	2	0	0	0.166667	0.833333	0	0	0	0	0	0	1	1	6	6
_47493456455	0	1.79176	1.09861	0.693147	3.55535	1	0	1	0	1	0	6	6	4.33333	0.666667	6	2	2	2	0	0	0.450561	0	0	0.450561	3.36028	0.0626495	3.8712	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15477	0.167468	0	0.107143	0.147619	0.0444444	0	3.40344	0.169014	3.30846	0.134894	18	18	1	0.978431	3.35282	0.333549	3.43768	0.18204	4.4	0	0	0	4.4	14.7524	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0.0175439	0	0	0	0	0	0	0	0	0	0.666667	0	0.666667	0	0.227095	0.227095	0.227095	0.227095	1	1	2.11014	2.11014	2.11014	2.4231	2.4231	2.4231	2.48569	2.65242	2.65236	6	0.1	0.1	0	0.100167	1.66667e-07	0.1005	5e-07	0.1	0	1	0	0	0	1	0	0	0	1	0	0	0	0.1	0.1	0.1	0.1002	6	-1.32	-1.32	0	-1.42333	0.0642267	-1.2	0.0288	-1.535	0.0475667	0	1	0	0	0	1	0	0	0	1	0	0	-1.39	-1.49333	-1.55	-1.456	6	-0.58	-0.58	0	-0.58	0	-0.58	0	-0.58	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.58	-0.58	-0.58	1	1	1	1	1	1	1	1	1	1	0	0	0.333333	6	2	3	1.5	0	0	0	0	0	2.5	5.75	0.333333	0	0.833333	0	0.166667	0	0	0	0	0	0	0	1	1	6	6
_47483649969	0	4.15888	2.89037	1.26851	4.48864	1	0	1	1	0	2	9	6	7.5	13.5	9	1	1	1	0	0	0.450561	0.450561	0.450561	0.450561	3.95061	1.31546	4.41884	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15079	0.130895	0	0.222222	0.115756	0.0217391	0	3.56676	0.166354	3.43013	0.15151	66	58	0.880597	0.970082	5.05503	1.44614	3.58717	0.0674422	4.4	0	0	0	4.4	22.2421	4.4	4.4	0	0.166667	0.842505	0	0	0	0.166667	0.842505	1	1	1	0	1	0	0	0	0.0410959	0	0	0	0	0	0.0149254	0	0.0149254	0	0	0	0	0	0.437947	0	0.437947	0	1	1	2.11206	2.46714	2.50233	2.44138	2.44138	2.44138	2.50724	2.616	2.70063	6	0.1	0.1	0	0.1	2.31112e-34	0.1	0	0.1	0	1	0	0	0	1	0	0	0	1	0	0	0	0.1	0.1	0.1	0.1	6	-1.5	-1.5	0	-1.53	0.10572	-1.31	0.0722	-1.64	0.103733	0	1	0	0	0	1	0	0	0	1	0	0	-1.64	-1.46667	-1.58	-1.6	6	-0.58	-0.58	0	-0.58	0	-0.58	0	-0.58	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.58	-0.58	-0.58	1	1	1	1	1	1	1	1	1	1	0	0	0.333333	6	2	5	2.5	0	0	0	0	0	2.5	5.75	0.166667	1	0	1	0	0	0	0	0	0	0	0	1	1	6	6
