#pid	label	UserInfo_FollowCount	UserInfo_FollowedCount	UserInfo_FollowFollowedRatio	UserInfo_RegTime	UserInfo_HasMobile	UserInfo_HasBirth	UserInfo_HasSex	UserInfo_IsMale	UserInfo_IsFemale	UserInfo_IsGroupOwner	UserInfo_MaxLevel	UserInfo_FourmNum	UserInfo_LevelMean	UserInfo_LevelVar	UserInfo_NowLevel	UserInfo_UnamePattern0	UserInfo_UnamePattern1	UserInfo_UnamePattern2	UserInfo_UnameIsEnNum	UserInfo_IsQQName	ForumInfo_ForumInfo	ForumInfo_Level2Info	ForumInfo_Level1Info	ForumInfo_RankInfo	ForumInfo_RankMean	ForumInfo_RankVar	ForumInfo_NowRank	ForumInfo_FormTitleMatchRatio	ForumInfo_Level1Name0	ForumInfo_Level1Name1	ForumInfo_Level1Name2	ForumInfo_Level1Name3	ForumInfo_Level1Name4	ForumInfo_Level1Name5	ForumInfo_Level1Name6	ForumInfo_Level1Name7	ForumInfo_Level1Name8	ForumInfo_Level1Name9	ForumInfo_Level1Name10	ForumInfo_Level1Name11	ForumInfo_Level1Name12	ForumInfo_Level1Name13	ForumInfo_Level1Name14	ForumInfo_Level1Name15	ForumInfo_Level1Name16	ForumInfo_Level1Name17	ForumInfo_Level1Name18	ForumInfo_Level1Name19	ForumInfo_Level1Name20	ForumInfo_Level1Name21	ForumInfo_Level1Name22	ForumInfo_Level1Name23	ForumInfo_Level1Name24	ForumInfo_Level1Name25	ForumInfo_Level1Name26	ForumInfo_Level1Name27	ForumInfo_Level1Name28	ContentSim_AvgSimByThread1	ContentSim_AvgSimByForum	ContentSim_AvgSimByThread2	ContentSim_Top2ContentsSim	TitleSim_AvgSimByThread	TitleSim_AvgSimByForum	TitleSim_Top2TitleSim	RepeatString_TextLengthMean	RepeatString_TextLengthVar	RepeatString_TextCnLengthMean	RepeatString_TextCnLengthVar	RepeatString_NowLength	RepeatString_NowCnLength	RepeatString_NowCnRatio	RepeatString_CnRatio	RepeatString_ThreadTextLengthMean	RepeatString_ThreadTextLengthVar	RepeatString_ReplyTextLengthMean	RepeatString_ReplyTextLengthVar	UrlWeight_NowUrlScore	UrlWeight_NowHasVideo	UrlWeight_NowHasEmail	UrlWeight_NowHasPic	UrlWeight_UrlScoreAvg	UrlWeight_UrlScoreAvgMultTextLength	UrlWeight_UrlScoreMin	UrlWeight_UrlScoreMax	UrlWeight_UrlRatio	UrlWeight_PicRatio	UrlWeight_PicRatioMultTextLength	UrlWeight_EmailRatio	UrlWeight_VideoRatio	UrlWeight_VideoRatioMultTextLength	UrlWeight_AnyRatio	UrlWeight_AnyRatioMultTextLength	UrlWeight_UniqueUrlRatio	UrlWeight_UniquePicRatio	UrlWeight_UniqueVideoRatio	NumberWeight_NumRatio	NumberWeight_UniqueNumRatio	NumberWeight_DeformNumRatio	UnusualChar_	UnusualCn_UnusualCnPostsRatio	UnusualCn_UnusualCnRatio	DictMatch_WhiteTitleRatio	DictMatch_NowBlackTitleCount	DictMatch_NowGrayTitleCount	DictMatch_NowBlackTitleCount2	DictMatch_NowGrayTitleCount2	DictMatch_NowBlackContentCount	DictMatch_NowGrayContentCount	DictMatch_NowBlackContentCount2	DictMatch_NowGrayContentCount2	DictMatch_BlackTitleRatio	DictMatch_GrayTitleRatio	DictMatch_BlackTitleRatio2	DictMatch_GrayTitleRatio2	DictMatch_BlackContentPerPost	DictMatch_GrayContentPerPost	DictMatch_BlackContentPerPost2	DictMatch_GrayContentPerPost2	DictMatch_TitleModifyRatio	DictMatch_ContentModifyRatio	LanguageModel_NowLmScore	LanguageModel_NowFirstLmScore	LanguageModel_NowLastLmScore	LanguageModel_LmScoreAvg	LanguageModel_FirstLmScoreAvg	LanguageModel_LastLmScoreAvg	LanguageModel_BadLmScoreAvg	LanguageModel_BadFirstLmScoreAvg	LanguageModel_BadLastLmScoreAvg	LTrate_TrateNum	LTrate_NowTrateScore	LTrate_NowThreadTrateScore	LTrate_NowReplyTrateScore	LTrate_TrateMean	LTrate_TrateVar	LTrate_ThreadTrateMean	LTrate_ThreadTrateVar	LTrate_ReplyTrateMean	LTrate_ReplyTrateVar	LTrate_Bukets0	LTrate_Bukets1	LTrate_Bukets2	LTrate_Bukets3	LTrate_TBukets0	LTrate_TBukets1	LTrate_TBukets2	LTrate_TBukets3	LTrate_PBukets0	LTrate_PBukets1	LTrate_PBukets2	LTrate_PBukets3	LTrate_TrateMean2	LTrate_TrateMean3	LTrate_TrateMean4	LTrate_TrateMean5	IPInfo_RecentLocs	IPInfo_RecentIps	IPInfo_RecentIpPrefix3	IPInfo_RecentIpPrefix2	IPInfo_RecentIpPrefix1	IPInfo_LocChanges	IPInfo_IpChanges	IPInfo_IpPrefix3Changes	IPInfo_IpPrefix2Changes	IPInfo_IpPrefix1Changes	IPInfo_ForeignIpRatio	MultiReplyTo_MultiReplyTo0	PostReplyRate_ThreadRatio	PostReplyRate_PostsNum	PostReplyRate_ThreadNum	PostReplyRate_UniqeThreadNum	PostReplyRate_UniqeThreadRatio	Time_TimeSpan0	Time_TimeSpan1	Time_TimeSpan2	Time_TimeSpan3	Time_TimeSpan4	Time_TimeSpanAvg	Time_TimeSpanVar	Time_HoursCovered	Time_NowTimeBin	Time_Bins0	Time_Bins1	Time_Bins2	Time_Bins3	Time_Bins4	Time_Bins5	DH_DH0	DH_DH1	DH_DH2	DH_DH3	DH_DH4	Sundry_PostType	Sundry_HistorySize	Sundry_PostsNumLast_1440_Minutes
_47477010190	1	1.38629	2.19722	-0.81093	6.93537	1	1	1	1	0	0	9	10	0	0	0	1	1	1	0	0	2.02533	1.55711	1.02965	1.50479	4.3397	5.61298	6.36475	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88	0.86	0	1	1.42552	1.42552	1	2.84434	0.00123711	2.57926	0.00204779	16	12	0.764706	0.931048	6.57256	7.80251e-07	0	0	4.635	1	0	0	4.4	28.9193	4.4	4.87	1	0	0	0	1	6.57256	1	6.57256	0.1	1	0.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3.14333	3.14333	3.14333	3.14625	3.14625	3.14625	3.14918	3.14918	3.14918	10	-1.1	-1.1	0	-1.246	0.0312044	-1.246	0.0312044	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-1.1	-1.12	-1.115	-1.112	2	2	2	2	2	3	3	3	3	3	0	0.00996016	1	10	10	10	1	0	0	0	0	0	2.5	5.75	0.2	0	0.4	0	0	0	0	0.6	0	0	0	0	0.000335648	1	10	10
_47479707782	1	0.693147	1.09861	-0.405465	4.65396	0	0	1	1	0	0	2	6	0.666667	1.06667	0	1	2	2	0	0	1.79176	0	0	0.450561	7.76341	6.13369	2.70805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.831224	0.831224	0.833333	1	0.560764	0.560764	0.4375	6.09053	6.94596e-05	6.01287	8.11709e-05	443	410	0.925676	0.989047	7.28667	0.01216	0	0	4.4	0	0	1	4.4	32.0613	4.4	4.4	0	1	7.28667	0	0	0	1	7.28667	1	1	1	1	0.166667	1	0	0	0.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.25922	2.56033	3.12595	2.25922	2.25922	2.25922	2.25922	2.56033	3.12595	6	-0.4	-0.4	0	-0.18	0.05056	-0.18	0.05056	-3	0	0	0.666667	0.333333	0	0	0.666667	0.333333	0	0	1	0	0	-0.42	-0.38	-0.275	-0.212	1	1	1	1	1	0	1	1	1	1	0	0.0166003	1	6	6	6	1	0	0	0	0	0	2.5	5.75	0.166667	0	1	0	0	0	0	0	0	0	0	0	1	1	6	6
_47479858916	1	0	0	0	7.12769	0	1	1	1	0	0	0	5	0	0	0	0	0	0	0	0	0.500402	0.500402	0	0.500402	7.25177	0.0285098	7.55381	0.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	0.6	1	0.148663	0	0	2.99822	0.811967	2.5084	1.96626	29	22	0.766667	0.87749	5.19296	0	4.24129	3.62267	4.4	0	0	0	4.4	22.849	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0.00555556	0	0.00555556	0.2	0	0.2	0	0	1.00045	0	1.00045	1	1	2.86204	3.1357	3.05328	2.78963	2.78963	2.78963	2.78963	3.00856	2.94263	5	-0.28	-0.28	0	-0.508	0.10352	-0.28	0	-0.565	0.116367	0	1	0	0	0	1	0	0	0	1	0	0	-0.35	-0.566667	-0.585	-0.508	1	1	1	1	1	1	1	1	1	1	0	0	0.166667	5	1	5	5	0	0	0	0	0	2.5	5.75	0.2	0	1	0	0	0	0	0	0	0	0	0	1	1	5	5
_47481375726	1	0	0	0	3.21888	0	0	0	0	0	0	0	4	0	0	0	2	0	0	1	0	1.38629	1.38629	1.38629	1.38629	4.73378	3.35545	4.52179	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.683959	0.683959	0.75	0.928571	0.469521	0.469521	0.953488	4.70048	0	4.65786	0.0022818	109	104	0.954545	0.992523	6.03118	0.000287751	0	0	5.255	0	0	1	4.4	26.5372	4.4	6.11	0.666667	0.666667	4.02079	0	0	0	0.666667	4.02079	0.625	1	1	0	1	0	0	0	0.0847458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.43874	3.73681	2.1986	2.38699	2.38699	2.38699	2.38699	3.65893	2.1986	4	0.12	0.12	0	0.135	0.000366667	0.135	0.000366667	-3	0	0	0	1	0	0	0	1	0	0	1	0	0	0.14	0.133333	0.135	-0.492	1	1	1	1	1	1	1	1	1	1	0	0	0.666667	4	4	4	1	0	0	0	0	0	2.5	5.75	0.75	1	0.25	0.25	0	0.25	0	0.25	0	0	0	0	0.25478	1	4	4
_47482903042	1	0	0	0	2.63906	0	0	0	0	0	0	2	10	0.6	0.266667	1	2	0	0	1	0	2.30259	1.69574	1.35924	1.8867	6.16497	15.8677	3.93183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.202661	0.177154	0	0.259259	0.339344	0.415498	0.266667	3.29584	0	3.0709	0.00401788	26	20	0.777778	0.947639	5.34233	8.76512e-31	0	0	4.4	0	0	0	4.4	23.5063	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0.0135135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.56968	2.56968	2.56968	2.5567	2.5567	2.5567	2.741	2.81767	2.74477	10	-1.24	-1.24	0	-1.52	0.0744889	-1.52	0.0744889	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-1.45	-1.37333	-1.565	-1.568	1	8	8	1	1	1	8	8	1	1	0	0.00996016	1	10	10	10	1	0	0	0	0	0	2.5	5.75	0.8	5	0.5	0.3	0	0	0	0.2	0	0	0	0	1	1	10	10
_47487817085	1	2.3979	3.04452	-0.646627	4.45435	1	0	1	1	0	0	7	10	4.9	11.4333	0	1	1	1	0	0	2.30259	0	0	1.36616	3.34223	2.02144	4.31749	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1	0	0	0	0	0	0	1	1	0	0	0	0	4.4	0	0	0	4.4	0	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	10	-1.22	-1.22	0	-1.22	0	-1.22	0	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-1.22	-1.22	-1.22	-1.22	1	1	1	1	1	1	1	1	1	1	0	0.00996016	1	10	10	10	1	0	0	0	0	0	2.5	5.75	0.2	2	0	0	1	0	0	0	0	0	0	0	1	1	10	10
_47487880557	1	0	1.09861	-1.09861	2.94444	1	0	0	0	0	0	6	10	2.4	9.6	0	1	1	1	0	0	2.30259	1.16828	0.325083	1.55711	3.05739	3.67274	3.3673	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1	0	0	0	0	0	0	1	1	0	0	0	0	4.4	0	0	0	4.4	0	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	10	-0.92	-0.92	0	-0.92	0	-0.92	0	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.92	-0.92	-0.92	-0.92	1	1	1	1	1	1	1	1	1	1	0	0.00996016	1	10	10	10	1	0	0	0	0	0	2.5	5.75	0.2	2	0	0	1	0	0	0	0	0	0	0	1	1	10	10
_47488091936	1	1.94591	1.60944	0.336472	7.03086	0	0	1	1	0	0	9	1	9	0	9	1	1	1	0	0	0	0	0	0	4.66344	0	4.66344	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.39445	0	4.07754	0	80	58	0.728395	0.941252	4.39445	0	0	0	4.4	0	0	0	4.4	19.3356	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0.166667	1	0	0	0	0	0	1	1	1	1	0.0123457	0.0246914	0.0123457	0.0246914	0.333333	0.333333	0.333333	0.333333	0.185376	0.370751	0.185376	0.370751	1	1	2.43479	2.82335	2.76278	2.43479	2.43479	2.43479	2.43479	2.82335	2.76278	1	-0.82	-0.82	0	-0.82	0	-0.82	0	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-1.91	-2.27333	-2.455	-2.564	1	1	1	1	1	0	1	1	1	1	0	0	0.166667	1	1	1	1	0	0	0	0	0	2.5	5.75	0	2	0	0	1	0	0	0	0	0	0	0	1	1	1	1
_47489611590	1	0	0	0	7.50824	0	1	1	1	0	0	6	2	0	0	0	2	0	0	1	1	0.693147	0	0	0	9.59093	2.10201e-08	9.59083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	1	0.162879	0.162879	0.977273	6.40026	0	6.13773	0	601	462	0.769103	0.964524	6.45834	0	0	0	4.4	0	0	0	4.4	28.4167	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0.333333	0.5	0	0	0	0.0116959	0	0	1	0	1	0	0.00470219	0	0.00470219	0	0.666667	0	0.666667	0	0.810783	0	0.810783	1	1	2.35457	2.45601	2.86074	2.35457	2.35457	2.35457	2.35457	2.45601	2.86074	2	1.2	1.2	0	1.15	0.005	1.15	0.005	-3	0	0	0	1	0	0	0	1	0	0	1	0	0	1.15	-0.233333	-0.925	-1.34	1	1	1	1	1	1	1	1	1	1	0	0	0.333333	2	2	2	1	0	0	0	0	0	2.5	5.75	0.5	2	0	0	1	0	0	0	0	0	0	0	1	1	2	2
_47491145285	1	0	0	0	1.09861	0	0	0	0	0	0	2	6	2	0	2	2	2	2	0	0	0	0	0	0	3.93183	0	3.93183	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.833333	0.833333	0	1	0.827381	0	0.964286	4.03092	0.000882321	1.60944	0	52	4	0.0943396	0.51868	4.03092	0.000882321	0	0	4.4	0	0	0	4.4	17.7361	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	6	-0.78	-0.78	0	-0.713333	0.00106667	-0.713333	0.00106667	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.74	-0.726667	-0.72	-0.716	2	3	3	3	3	2	3	3	3	3	0	0.0166003	1	6	6	6	1	0	0	0	0	0	2.5	5.75	0.166667	2	0	0	1	0	0	0	0	0	0	0	0.00354167	1	6	6
