instance	true	assigned	probability
47477010190	1	1	-0.56
47479707782	1	1	-0.58
47479858916	1	1	-0.58
47481375726	1	1	-0.58
47482903042	1	1	-0.58
47487817085	1	1	-0.58
47487880557	1	1	-0.58
47488091936	1	1	-0.58
47489611590	1	1	-0.58
47491145285	1	1	-0.58
47491730728	1	1	-0.6
47492426419	1	1	-0.58
47492488000	1	1	-0.58
47492652539	1	1	-0.58
47494880398	1	1	-0.58
47495098742	1	1	-0.58
47495106383	1	1	-0.58
47495759516	1	1	-0.58
47497152932	1	1	-0.58
47497654579	1	1	-0.58
47497849947	1	1	-0.58
47498182859	1	1	-0.58
47498188485	1	1	-0.58
47498494168	1	1	-0.58
47500637719	1	1	-0.58
47502324706	1	1	-0.58
47502438260	1	1	-0.58
47502441794	1	1	-0.58
47502443214	1	1	-0.58
47505622389	1	1	-0.58
47506807511	1	1	-0.58
47507659381	1	1	-0.58
47508009690	1	1	-0.58
47509236860	1	1	-0.58
47511229974	1	1	-0.54
47514073683	1	1	-0.58
47514953624	1	1	-0.58
47516747115	1	1	-0.58
47519095892	1	1	-0.48
47522025643	1	1	-0.58
47522767599	1	1	-0.58
47424004590	1	1	-0.58
47424419518	1	1	-0.58
47424689928	1	1	-0.58
47425109841	1	1	-0.58
47425329620	1	1	-0.58
47425400275	1	1	-0.58
47427927746	1	1	-0.58
47428323540	1	1	-0.58
47428496524	1	1	-0.58
47428504686	1	1	-0.58
47428979432	1	1	-0.58
47430569271	1	1	-0.58
47432130405	1	1	-0.58
47432880994	1	1	-0.58
47432974312	1	1	-0.58
47432987583	1	1	-0.58
47432992604	1	1	-0.58
47433082592	1	1	-0.58
47433134992	1	1	-0.58
47433192459	1	1	-0.58
47433290715	1	1	-0.58
47433521270	1	1	-0.58
47433979829	1	1	-0.58
47434266184	1	1	-0.58
47436020859	1	1	-0.58
47436182658	1	1	-0.58
47439363870	1	1	-0.58
47443507489	1	1	-0.58
47445593439	1	1	-0.58
47446406611	1	1	-0.58
47446452809	1	1	-0.58
47446549191	1	1	-0.58
47446650129	1	1	-0.58
47447245794	1	1	-0.58
47447281193	1	1	-0.58
47447894344	1	1	-0.58
47448448339	1	1	-0.58
47450251030	1	1	-0.58
47451287585	1	1	-0.58
47451707708	1	1	-0.58
47452257287	1	1	-0.58
47452754360	1	1	-0.58
47452944534	1	1	-0.58
47453035111	1	1	-0.58
47453286335	1	1	-0.58
47453371741	1	1	-0.58
47453409062	1	1	-0.58
47454382600	1	1	-0.58
47455016907	1	1	-0.58
47456215781	1	1	-0.58
47458297063	1	1	-0.58
47458307539	1	1	-0.58
47458403098	1	1	-0.58
47458536005	1	1	-0.6
47460071533	1	1	-0.6
47460144192	1	1	-0.58
47460594661	1	1	-0.58
47461772185	1	1	-0.58
47462169023	1	1	-0.58
47465196245	1	1	-0.58
47466047957	1	1	-0.58
47466242310	1	1	-0.58
47467021299	1	1	-0.58
47467799996	1	1	-0.58
47470254777	1	1	-0.58
