instance	true	assigned	probability
43982127697	1	1	-0.58
44000644326	1	1	-0.58
44331749408	0	1	-0.58
44352482834	1	1	-0.58
44028351052	1	1	-0.58
43984555453	1	1	-0.58
43982183072	1	1	-0.58
43983555275	1	1	-0.58
44350032090	1	1	-0.58
44350262760	1	1	-0.58
44367757645	1	1	-0.58
44012923553	1	1	-0.62
44359502693	1	1	-0.58
43982063810	1	1	-0.58
43981097992	1	1	-0.6
43999996264	0	1	-0.58
44358891272	0	1	-0.58
44325474636	0	1	-0.58
44360925913	1	1	-0.58
44010869982	0	1	-0.56
44009693503	1	1	-0.58
44355146081	1	1	-0.56
44330904051	0	1	-0.58
43994106461	0	1	-0.58
44359489817	0	1	-0.58
44346799880	1	1	-0.58
44328381298	0	1	-0.58
43979036998	0	1	-0.58
44369779313	1	1	-0.58
44025186714	0	1	-0.58
44368778060	0	1	-0.58
44319871800	1	1	-0.58
43981297755	1	1	-0.58
44027094244	1	1	-0.58
44357387531	0	1	-0.58
44021965111	1	1	-0.58
43469841954	1	1	-0.58
43352422577	1	1	-0.58
43143300448	1	1	-0.58
43075275924	1	1	-0.58
43461893514	1	1	-0.58
42724209548	1	1	-0.66
43152839371	1	1	-0.58
43161141294	1	1	-0.58
42117032012	1	1	-0.58
43043751243	1	1	-0.58
42755021231	1	1	-0.58
43443392532	0	1	-0.58
43456141771	1	1	-0.58
42766387992	0	1	-0.58
42762709482	1	1	-0.58
42741450628	1	1	-0.58
43355096279	1	1	-0.58
42729510720	1	1	-0.58
43695860607	1	1	-0.58
43650862759	1	1	-0.6
43653763844	1	1	-0.58
42092178168	1	1	-0.58
43671201059	1	1	-0.58
43666775171	1	1	-0.6
43443544137	1	1	-0.6
43067502719	1	1	-0.58
43075392160	1	1	-0.58
43469065549	1	1	-0.56
43078280211	1	1	-0.58
43470716168	1	1	-0.58
43351737729	1	1	-0.58
43453284561	1	1	-0.56
43060612127	1	1	-0.58
43458200278	0	1	-0.58
43077498333	1	1	-0.58
42757161251	1	1	-0.58
43676080873	1	1	-0.58
43057084798	1	1	-0.58
43452547725	1	1	-0.58
42734913768	1	1	-0.58
42132341553	1	1	-0.62
43449637208	1	1	-0.58
42741217618	1	1	-0.58
42109229700	0	1	-0.58
42124842229	1	1	-0.58
43476655821	0	1	-0.58
42112808881	1	1	-0.58
42747554380	0	1	-0.58
43461992151	1	1	-0.58
43369434511	1	1	-0.58
43384734555	1	1	-0.58
43056714120	1	1	-0.58
43351945317	1	1	-0.58
43369342703	1	1	-0.58
43059952265	1	1	-0.58
43353681722	1	1	-0.58
42725037728	1	1	-0.58
43154213188	1	1	-0.58
43049734623	1	1	-0.58
43048990024	1	1	-0.58
42744649853	1	1	-0.58
43680841336	1	1	-0.58
43063375208	1	1	-0.58
43366196630	0	1	-0.58
42130102778	1	1	-0.58
43067742349	1	1	-0.58
42760160525	1	1	-0.58
43461267048	1	1	-0.58
43464394604	1	1	-0.58
43365588762	1	1	-0.58
43453032148	1	1	-0.58
43054906515	1	1	-0.58
43365210896	1	1	-0.58
43146503501	1	1	-0.58
43049935041	1	1	-0.58
43135488561	1	1	-0.58
42108624224	1	1	-0.58
43373515381	1	1	-0.58
42752613731	0	1	-0.58
43075995486	0	1	-0.58
43166638971	1	1	-0.58
43353538063	0	1	-0.58
42118599759	0	1	-0.58
43473988697	1	1	-0.58
43351856000	1	1	-0.58
43476280268	1	1	-0.58
43067310373	1	1	-0.58
43352234801	1	1	-0.58
43159006027	1	1	-0.58
43060269571	1	1	-0.58
43057529271	1	1	-0.58
43085482473	1	1	-0.58
42750998156	1	1	-0.58
43173228938	1	1	-0.58
42121854068	0	1	-0.58
43388124779	0	1	-0.58
43460722386	1	1	-0.58
42748862238	1	1	-0.58
43442803863	1	1	-0.58
43447625597	1	1	-0.58
42098644230	1	1	-0.58
43160154084	0	1	-0.58
42769083742	1	1	-0.58
43373772332	1	1	-0.58
42735674829	1	1	-0.58
42739241889	1	1	-0.58
42124519653	1	1	-0.58
43040009061	0	1	-0.58
42765018500	1	1	-0.58
43384369671	1	1	-0.58
42751075803	1	1	-0.56
43047694065	1	1	-0.58
42117875463	1	1	-0.6
43444717551	1	1	-0.58
42105496484	0	1	-0.58
42110780243	0	1	-0.58
42108305815	0	1	-0.58
42097477955	0	1	-0.58
42129100489	0	1	-0.58
42100644177	1	1	-0.58
42108364876	0	1	-0.58
42103122920	0	1	-0.58
42101479990	0	1	-0.54
42120465516	0	1	-0.58
42087551740	0	1	-0.58
42123812254	0	1	-0.58
42100762285	0	1	-0.58
42092437087	0	1	-0.58
42103327305	0	1	-0.58
42115961645	0	1	-0.58
42118653270	0	1	-0.58
42097482929	0	1	-0.58
42106126441	0	1	-0.58
42104024836	0	1	-0.58
42097568366	0	1	-0.66
42113844171	0	1	-0.58
42132447809	0	1	-0.58
42101775051	0	1	-0.58
42092281200	0	1	-0.58
42098792123	0	1	-0.58
42104609624	0	1	-0.58
42098460377	0	1	-0.58
42116340892	0	1	-0.58
42133448642	0	1	-0.58
42098791155	0	1	-0.56
42093557061	0	1	-0.58
42091248903	0	1	-0.58
42127978483	0	1	-0.6
42092739411	0	1	-0.58
42098258473	0	1	-0.58
42096093985	0	1	-0.58
42132758760	0	1	-0.58
42096846920	0	1	-0.58
42133761629	0	1	-0.58
42108157392	0	1	-0.58
42104296727	0	1	-0.58
42103621444	0	1	-0.58
42110888662	0	1	-0.58
42110035586	0	1	-0.58
42126728639	0	1	-0.58
42120330020	0	1	-0.58
42103053681	0	1	-0.58
42120779449	0	1	-0.58
42109542011	0	1	-0.58
42129865398	0	1	-0.58
42114424971	0	1	-0.58
42105828379	0	1	-0.58
42119065859	0	1	-0.58
42093357606	0	1	-0.58
42107681595	0	1	-0.58
42090525232	0	1	-0.58
42119987978	0	1	-0.6
42113389212	0	1	-0.58
42103173644	0	1	-0.58
42128553823	0	1	-0.58
42094520393	0	1	-0.58
42131380952	0	1	-0.58
42101012204	0	1	-0.58
42117218250	0	1	-0.58
42095538801	0	1	-0.58
42121211605	0	1	-0.58
42106019048	0	1	-0.58
42094622373	0	1	-0.58
42098975226	0	1	-0.58
42128807160	1	1	-0.6
42095356264	0	1	-0.58
42100886151	1	1	-0.64
42115526092	0	1	-0.58
42114682066	0	1	-0.58
42133154028	0	1	-0.6
42087664742	0	1	-0.58
42103919170	0	1	-0.58
42117942561	0	1	-0.58
42109652767	0	1	-0.58
42110963801	0	1	-0.58
42090580966	0	1	-0.58
42131778938	0	1	-0.58
42096720623	0	1	-0.6
42126646014	0	1	-0.58
42109751637	0	1	-0.58
42111505893	0	1	-0.58
42096493545	0	1	-0.58
42130864210	0	1	-0.68
42089827549	0	1	-0.58
42091317615	0	1	-0.58
42091548709	0	1	-0.58
42095958349	0	1	-0.58
42096051481	0	1	-0.6
42088825912	0	1	-0.6
42133424501	1	1	-0.58
42091211902	1	1	-0.58
42117762560	1	1	-0.56
42112353156	0	1	-0.58
42131635804	0	1	-0.58
42089545745	0	1	-0.6
42112002172	1	1	-0.58
42090538234	1	1	-0.58
42134055150	0	1	-0.58
42090903927	0	1	-0.58
42093792110	0	1	-0.58
42118058298	0	1	-0.58
42112459400	0	1	-0.58
42122534873	1	1	-0.6
42107747876	0	1	-0.58
42099349879	1	1	-0.58
42100808256	1	1	-0.58
42090000754	0	1	-0.58
42110317150	0	1	-0.58
42119079496	0	1	-0.58
42126510122	0	1	-0.58
42116472588	0	1	-0.58
42092385003	0	1	-0.6
42108142887	1	1	-0.58
42104439928	0	1	-0.58
42103004758	0	1	-0.6
42087209754	0	1	-0.6
42094914781	0	1	-0.58
42095422476	0	1	-0.58
42123720631	0	1	-0.58
42121406223	0	1	-0.6
42110734849	0	1	-0.58
42092493365	0	1	-0.6
42107115570	0	1	-0.58
42089891984	0	1	-0.58
42115226316	0	1	-0.58
42102957110	0	1	-0.58
42092282249	0	1	-0.58
42089973521	0	1	-0.58
42087476502	0	1	-0.58
42121789342	0	1	-0.58
42087834435	0	1	-0.58
42114524676	0	1	-0.58
42125988189	0	1	-0.58
42087973354	0	1	-0.58
42087389099	0	1	-0.58
42103686480	0	1	-0.58
42108883843	1	1	-0.58
42087082101	0	1	-0.58
42124983542	0	1	-0.58
42116191879	0	1	-0.58
42123511356	0	1	-0.58
42126337278	0	1	-0.58
42128849588	1	1	-0.58
42133289462	0	1	-0.58
42105434309	0	1	-0.58
