instance	true	assigned	probability
43982127697	1	1	0.5
44000644326	1	1	0.5
44331749408	0	1	0.004
44352482834	1	1	0.252
44028351052	1	1	0.5
43984555453	1	1	0.1
43982183072	1	1	0.1
43983555275	1	1	0.195882
44350032090	1	1	0.037000000000000005
44350262760	1	1	0.5
44367757645	1	1	0.14300000000000002
44012923553	1	1	0.1
44359502693	1	1	0.0415571
43982063810	1	1	0.1
43981097992	1	1	0.5
43999996264	0	1	0.1
44358891272	0	1	0.5
44325474636	0	1	1.0
44360925913	1	1	0.5
44010869982	0	1	0.5
44009693503	1	1	0.5
44355146081	1	1	0.5
44330904051	0	1	0.0995576
43994106461	0	1	0.1
44359489817	0	1	0.243
44346799880	1	1	0.43799999999999994
44328381298	0	1	0.335904
43979036998	0	1	0.165434
44369779313	1	1	0.5
44025186714	0	1	0.1
44368778060	0	1	0.1
44319871800	1	1	0.21721
43981297755	1	1	0.5
44027094244	1	1	0.5
44357387531	0	1	0.7070000000000001
44021965111	1	1	0.447342
43469841954	1	1	0.5
43352422577	1	1	0.5
43143300448	1	1	0.1
43075275924	1	1	0.1
43461893514	1	1	0.5
42724209548	1	1	0.5
43152839371	1	1	0.1
43161141294	1	1	0.5576439999999999
42117032012	1	1	0.45992299999999997
43043751243	1	1	0.1
42755021231	1	1	0.5
43443392532	0	1	0.5
43456141771	1	1	0.5
42766387992	0	1	0.5
42762709482	1	1	0.5
42741450628	1	1	0.5
43355096279	1	1	0.1
42729510720	1	1	4.2736400000000006e-05
43695860607	1	1	0.5
43650862759	1	1	0.5
43653763844	1	1	0.255706
42092178168	1	1	0.5
43671201059	1	1	0.5
43666775171	1	1	0.5
43443544137	1	1	0.5
43067502719	1	1	0.1
43075392160	1	1	0.09101419999999999
43469065549	1	1	0.1
43078280211	1	1	0.1
43470716168	1	1	0.780293
43351737729	1	1	0.1
43453284561	1	1	0.599272
43060612127	1	1	0.1
43458200278	0	1	0.566819
43077498333	1	1	0.1
42757161251	1	1	0.00216758
43676080873	1	1	0.1
43057084798	1	1	0.1
43452547725	1	1	0.5
42734913768	1	1	0.0266757
42132341553	1	1	0.5
43449637208	1	1	0.5
42741217618	1	1	0.1
42109229700	0	1	0.000250753
42124842229	1	1	0.125191
43476655821	0	1	0.5
42112808881	1	1	0.5
42747554380	0	1	0.453755
43461992151	1	1	0.0417528
43369434511	1	1	0.1
43384734555	1	1	0.1
43056714120	1	1	0.1
43351945317	1	1	0.1
43369342703	1	1	0.1
43059952265	1	1	0.1
43353681722	1	1	0.1
42725037728	1	1	0.27373800000000004
43154213188	1	1	0.5
43049734623	1	1	0.5
43048990024	1	1	0.1
42744649853	1	1	0.5
43680841336	1	1	0.1
43063375208	1	1	0.1
43366196630	0	1	0.1
42130102778	1	1	0.274624
43067742349	1	1	0.200822
42760160525	1	1	0.5
43461267048	1	1	0.159611
43464394604	1	1	0.1
43365588762	1	1	0.1
43453032148	1	1	0.0454261
43054906515	1	1	0.1
43365210896	1	1	0.1
43146503501	1	1	0.5
43049935041	1	1	0.1
43135488561	1	1	0.018018799999999998
42108624224	1	1	0.5
43373515381	1	1	0.1
42752613731	0	1	0.1
43075995486	0	1	0.1
43166638971	1	1	0.1
43353538063	0	1	0.1
42118599759	0	1	0.5
43473988697	1	1	0.1
43351856000	1	1	0.1
43476280268	1	1	0.5
43067310373	1	1	0.1
43352234801	1	1	0.1
43159006027	1	1	0.1
43060269571	1	1	0.1
43057529271	1	1	0.1
43085482473	1	1	0.5
42750998156	1	1	0.5
43173228938	1	1	0.5
42121854068	0	1	0.5
43388124779	0	1	0.1
43460722386	1	1	0.5
42748862238	1	1	0.028258600000000002
43442803863	1	1	0.283409
43447625597	1	1	0.5
42098644230	1	1	0.5
43160154084	0	1	0.1
42769083742	1	1	0.356917
43373772332	1	1	0.1
42735674829	1	1	0.23060100000000003
42739241889	1	1	0.5
42124519653	1	1	0.143149
