instance	true	probability
43982127697	1	-1.36
44000644326	1	-1.5
44331749408	0	-0.84
44352482834	1	-1.02
44028351052	1	-1.56
43984555453	1	-2.02
43982183072	1	-2.02
43983555275	1	-1.42
44350032090	1	-1.72
44350262760	1	-1.54
44367757645	1	-1.0
44012923553	1	-1.48
44359502693	1	-1.64
43982063810	1	-1.22
43981097992	1	-1.14
43999996264	0	-1.2
44358891272	0	-1.58
44325474636	0	-3.64
44360925913	1	-0.7
44010869982	0	-1.16
44009693503	1	-1.82
44355146081	1	-1.26
44330904051	0	-2.12
43994106461	0	-0.96
44359489817	0	-1.16
44346799880	1	-1.0
44328381298	0	-1.2
43979036998	0	-1.5
44369779313	1	-1.34
44025186714	0	-1.78
44368778060	0	-1.78
44319871800	1	-1.3
43981297755	1	-1.12
44027094244	1	-1.58
44357387531	0	-0.8
44021965111	1	-1.82
42105496484	0	-1.32
42110780243	0	-1.08
42108305815	0	-1.26
42097477955	0	-1.36
42129100489	0	-1.18
42100643868	1	-1.4
42108364876	0	-1.24
42103122920	0	-1.86
42101479990	0	-1.56
42120465516	0	-1.12
42087551740	0	-1.12
42123812254	0	-1.56
42100762285	0	-1.26
42092437087	0	-1.04
42103326761	0	-1.9
42115961645	0	-1.32
42118653270	0	-1.62
42097482929	0	-1.18
42109229700	0	-0.86
42106126441	0	-1.44
42104024836	0	-1.38
42097568366	0	-1.26
42113844171	0	-2.02
42132447809	0	-1.56
42101775051	0	-1.5
42092281200	0	-1.22
42098792123	0	-1.54
42104609624	0	-1.5
42098460377	0	-1.6
42116340892	0	-2.2
42133448642	0	-1.48
42098791155	0	-1.68
42093557061	0	-1.74
42091248903	0	-1.36
42127978483	0	-1.6
42092739411	0	-1.64
42098258473	0	-0.82
42096093985	0	-1.26
42132758760	0	-1.42
42096846920	0	-1.12
42133761629	0	-1.4
42108157392	0	-1.78
42104296727	0	-1.04
42103621444	0	-1.44
42110888662	0	-1.96
42110035586	0	-1.92
42126728639	0	-2.48
42120330020	0	-1.64
42103053681	0	-1.74
42120779449	0	-1.48
42109542011	0	-1.38
42129865398	0	-1.56
42114424971	0	-1.6
42105828379	0	-1.4
42119065859	0	-1.42
42093357606	0	-1.48
42107681595	0	-1.1
42090525232	0	-1.78
42119987978	0	-1.48
42113389212	0	-1.56
42103173644	0	-1.26
42128553823	0	-1.46
42094520393	0	-1.66
42131380952	0	-1.04
42101012204	0	-1.52
42117218250	0	-1.36
42095538801	0	-1.6
42121211605	0	-1.24
42108624224	0	-0.88
42106019048	0	-1.48
42094622373	0	-1.58
42098975226	0	-1.4
42121854068	0	-0.82
42128807160	1	-1.06
42095356264	0	-1.84
42100886151	1	-1.52
42115526092	0	-1.34
42114682066	0	-1.76
42133154028	0	-1.84
42087664742	0	-1.16
42103919170	0	-1.28
42117942561	0	-1.36
42109652767	0	-1.18
42110963801	0	-1.4
42090580966	0	-2.42
42131778938	0	-2.06
42096720623	0	-1.56
42126646014	0	-1.96
42109751637	0	-1.38
42111505893	0	-1.66
42096493545	0	-1.96
42130864210	0	-1.58
42089827549	0	-1.48
42091317615	0	-1.34
42091548709	0	-2.8
42095958349	0	-1.82
42096051481	0	-1.08
42088825912	0	-1.78
42133424501	1	0.56
42091211902	1	-1.72
42117762560	1	-0.88
42112353156	0	-1.22
42131635804	0	-2.28
42089545745	0	-2.0
42112002172	1	-1.18
42090538234	1	-1.12
