Instance	True	Assigned	Output	Probability	Log-loss
43676400360	0	0	-58.1633450460452	2.34113385502207E-06	3.37754615631035E-06
42751360902	1	0	-10.6061223797162	0.183814284604157	2.44367920896336
43999927277	0	0	-53.3230371700281	7.5266787927327E-06	1.08587430338941E-05
42101412353	0	0	-47.6036506246433	2.99147293745898E-05	4.31584772586251E-05
44004343068	0	0	-38.6308287197187	0.000260602916610096	0.000376019533456537
43043479582	0	0	-52.476384870361	9.23244983284537E-06	1.33196710758201E-05
43144881330	0	0	-50.4660046808777	1.49957104043563E-05	2.16343992469014E-05
43374127367	0	0	-55.0878990909355	4.91674782183795E-06	7.09338513813724E-06
46850496247	0	0	-47.9407321267833	2.75781965497189E-05	3.9787476034923E-05
44004053876	0	0	-48.5873598765447	2.35945850095497E-05	3.40401923688057E-05
43682318529	0	0	-50.9110125702253	1.34691033188259E-05	1.94319394289276E-05
42747069586	1	0	-11.710279037371	0.147151849403773	2.76462242071042
43135316326	0	0	-57.2235562479897	2.9369690717697E-06	4.2371569372182E-06
42105832557	0	0	-38.2467251944837	0.000285900948532671	0.000412526854353353
43989452077	0	0	-42.2293190757484	0.000109392177001657	0.000157828184014086
43677860354	0	0	-38.0006178920356	0.000303386135499055	0.000437760081686953
46870679993	0	0	-56.4262193098112	3.55996749169117E-06	5.13595658790337E-06
43998753703	0	0	-55.4303707849977	4.52681842835179E-06	6.53083327951555E-06
42749008743	0	0	-57.735049549408	2.59599584131924E-06	3.74523518771057E-06
43171371987	0	0	-37.0867991124368	0.00037819467879869	0.000545722788826797
46432315853	0	0	-51.7952680829614	1.08814140517158E-05	1.56986475021437E-05
43386169365	0	0	-56.6544170927707	3.36926359055807E-06	4.86082806227189E-06
44001394239	0	0	-54.7565143774984	5.32599878918657E-06	7.68381250299231E-06
43457088819	0	0	-52.8265460947977	8.484505297171E-06	1.2240605644516E-05
44454132028	0	0	-53.8617599272597	6.60929417837258E-06	9.53522744554255E-06
43995867059	0	0	-53.1236967632258	7.89751756759235E-06	1.13937544213265E-05
46847877666	0	0	-46.4362135124525	3.96467680162359E-05	5.71993294961083E-05
43141758439	0	0	-53.3006258767	7.56748685740434E-06	1.09176170706396E-05
44450356875	0	0	-45.3607868561863	5.13911746582024E-05	7.41436980070929E-05
43165923819	0	0	-53.3527072472585	7.47299173694719E-06	1.07812884038331E-05
43690373334	0	0	-46.9532446457808	3.49972574626273E-05	5.04912533188394E-05
44443038977	0	0	-43.637129070461	7.78907967532161E-05	0.000112377042832315
44327867078	0	0	-52.3499761920043	9.5183626009248E-06	1.37321598756146E-05
43081768615	0	0	-57.011794269348	3.09092344218334E-06	4.45926681345184E-06
43997894456	0	0	-50.5526361788845	1.46855331379635E-05	2.11869014018444E-05
44425052512	0	0	-59.7642553933892	1.59103318880284E-06	2.29537751731442E-06
43665830503	0	0	-55.7319634919708	4.20912269958346E-06	6.07249322515752E-06
43158860185	0	0	-54.4085163224363	5.79248549183934E-06	8.35681429685307E-06
43693374470	0	0	-46.200913414039	4.19625728399046E-05	6.0540465964876E-05
42124983542	0	0	-48.1130308067815	2.64552865419811E-05	3.81674155666138E-05
43132605323	0	0	-29.8304529078876	0.00217406398334105	0.00313992576519841
44027910587	0	0	-50.2788583645556	1.56883184490524E-05	2.26336367685785E-05
